Indian Oil looking for annual deal to buy crude from US,"Indian Oil Corporation on Wednesday said it's looking for an annual deal to buy US crude as it seeks to broaden oil purchasing options. This comes amid uncertainties over Iran imports. The US had in November granted a six-month waiver to India from sanctions against Iran and restricted the country's monthly intake of Iranian oil to 3,00,000 barrels per day.

"
Pacer once took 7 wickets for just 1 run in 32 balls in a Test,"Former Windies fast bowler Curtly Ambrose dismissed seven Australian batsmen within a span of 32 balls giving away just one run, in a Test match on January 30, 1993. Ambrose's spell helped his team bowl out Australia for 119 in the first innings, after being 85 for 2 at one point. Ambrose ended with first-innings figures of 18-9-25-7."
UK zoo offers people to name cockroach after their ex on Valentine's,"A London zoo is offering people to name a cockroach after their exes on Valentine's Day for Â£1.50 (nearly â¹140). ""For those that don't quite require revenge, there's another way to make you feel better about getting back at your ex,"" the zoo said in a statement. The names will appear on zoo's 'roach board' on February 14. "
Rohit Sharma becomes 14th Indian cricketer to play 200 ODIs,"Stand-in captain Rohit Sharma has become the 14th Indian cricketer to play 200 ODIs, achieving the feat after taking the field against New Zealand in fourth ODI at Hamilton on Thursday. The 31-year-old had made his ODI debut on June 23, 2007, against Ireland in Belfast. Rohit scored 7,799 runs in his first 199 ODIs at an average of 48.14."
19-year-old Shubman Gill becomes India's 227th ODI cricketer,"Batsman Shubman Gill has become the 227th cricketer to represent India in ODI cricket, achieving the feat against New Zealand in the fourth ODI at Hamilton on Thursday. The 19-year-old received his maiden ODI cap from former captain MS Dhoni. Notably, Shubman was named Player of the Under-19 World Cup in New Zealand last year."
2 seat cushions from 'missing plane carrying footballer' found,"Investigators searching for a lost plane carrying Argentine forward Emiliano Sala found two seat cushions on French coast that ""likely"" belonged to the aircraft. The investigators said they'll now launch an underwater seabed search for aircraft wreckage. The Cardiff City footballer was travelling from France's Nantes to Wales' Cardiff when his plane disappeared over English Channel on January 21."
"Italian coach knocks rival down with headbutt, banned for 5 months","Italian third division football side Lucchese's head coach Giancarlo Favarin has been banned for five months for headbutting Alessandria's assistant coach Gaetano Mancino during a brawl following the teams' 2-2 draw on Sunday. Mancino was caught off-balance and knocked to the ground after the headbutt. Earlier in the match, Favarin had told his own player to break an opponent's legs."
Cyclists sleep on stadium floor instead of hotel over costly cycles,"Cyclists taking part in National Track Cycling Championship in Jaipur opted to sleep on the floor inside the stadium instead of hotels over expensive cycles. The organisers had booked hotels but they didn't have the provision for cyclists to keep their bikes inside. A national gold medallist said their cycles cost between â¹5-9 lakh and once damaged, they become non-repairable. "
Brazilian mother narrates football matches to blind son from stands,"Silvia Grecco, a 56-year-old Brazilian mother narrates her local football team Palmeiras' matches live to her 12-year-old blind and autistic son Nickollas from the stands. ""I describe details: this player is wearing short sleeves...colour of...football boots, hair colour...Everything I see and feel, I tell him, even when I need to curse the referee!"" Grecco said after a recent match."
SBI left account data of millions of users unprotected: Report,"A TechCrunch report has claimed that Indiaâs largest bank SBI secured a passwordless server ""overnight"" on being alerted it allowed anyone to access phone numbers, bank balances, and transactions of millions of its customers. The Mumbai-based server was containing two months of data from SBI Quick, an SMS and call-based system used to request basic information about accounts, TechCrunch revealed."
CM Parrikar under pressure from PM after our Goa meet: Rahul,"Rahul Gandhi has replied to Goa CM Manohar Parrikar's letter, which accused the Congress President of using his ""visit to an ailing man for political gains"". ""He's under immense pressure from the PM after our meeting and needs to demonstrate his loyalty by attacking me,"" Gandhi wrote in his letter. Parrikar had clarified he didn't discuss Rafale deal with Rahul."
Man arrested for cheating Amazon of â¹30 lakh by taking refunds,"Twenty-seven-year-old Mohammed Mahuwala was arrested in Indore on Wednesday for allegedly cheating e-commerce giant Amazon of nearly â¹30 lakh. Mahuwala was a member of a gang who ordered costly gadgets from Amazon. ""[They] used to get refund of the amount paid...by saying the parcel...was empty. In reality, these devices were taken out from parcel and sold...to local shopkeepers,"" said police."
AgustaWestland scam accused Rajiv Saxena extradited to India,"AgustaWestland chopper scam co-accused Rajiv Saxena was extradited to India from UAE on Wednesday. He had been evading the Enforcement Directorate's summons claiming he was suffering from leukaemia but had moved an anti-money laundering court for anticipatory bail in December, stating he had never been summoned at his Dubai address. Saxena's lawyers alleged he had been ""illegally extradited"". "
Pakistan holds 'keys to war': Afghanistan,"Afghan President Ashraf Ghani has said the ""keys to war"" are in Pakistan's Islamabad, Quetta and Rawalpindi, accusing the country of providing safe havens to militants, including those belonging to the Taliban. Ghani added the ""key to peace was in Afghanistan"". His comments came amid the talks between the US and the Taliban to end the 17-year war in Afghanistan."
Insurance agent 'Lord Voldemort' jailed for threatening clients,"A Singapore-based insurance agent has been jailed for two years and five months for threatening to harm his clients unless they paid him in bitcoins. The 36-year-old set up an email account, and signed the messages as 'Lord Voldemort', a fictional character from the Harry Potter series. Ye Lin Myint targeted about 33 people, including those who cancelled insurance policies."
Woman turns Apple AirPods into earrings to avoid losing them,"Gabrielle Reilly, a 22-year-old US woman, created earrings for her Apple AirPods and put it up for sale online for $20 (about â¹1,500). ""I absolutely refuse to lose them (AirPods)...So I made earrings,"" she explained. The earrings, which took her over an hour to make, debuted in a video on Twitter that has since garnered over three million views."
"Shocked, hurt by ICICI's decision, truth will prevail: Kochhar","Ex-ICICI Bank CEO Chanda Kochhar said she's ""utterly disappointed, hurt and shocked"" by the bank's decision to terminate her. Kochhar said she served ICICI for 34 years with utmost honesty and integrity and that ultimately truth will prevail. Adding that she hasn't been given a copy of the independent probe report, Kochhar said none of ICICI's credit decisions are unilateral"
Fashion brand H&M hires Facebook data scandal whistleblower,"Swedish multinational fast-fashion brand Hennes & Mauritz AB (H&M) has hired Christopher Wylie, the whistleblower who exposed Facebook's Cambridge Analytica data scandal. Wylieâs focus will be to help get better insights on customers, products and markets and support work on sustainable and ethical artificial intelligence, H&M spokesperson said. Wylie is a former employee of Cambridge Analytica."
Twitter testing news-first timeline feature on Android,"Micro-blogging platform Twitter is testing a new feature on Android to put news on the top of a user's timeline. ""With this update, weâre making it easier for people to see news and stories their followers have been discussing,"" Product Manager Walter Gurzynski said. The feature comes alongside a prompt saying, ""Catch up on what's happened while you were away."""
Samsung builds world's first 1TB storage chip for smartphones ,"Samsung has started mass producing its one terabyte 'embedded Universal Flash Storage (eUFS) 2.1' technology for ""use in next-generation mobile applications"", which it claims is the industry's first such eUFS. The company added the new eUFS will let smartphones store 260 10-minute videos shot in 4K UHD format. It'll be sized the same as the previous 512GB version, Samsung said."
People with 'negative mindset' quizzing pro-poor schemes: PM,Prime Minister Narendra Modi on Wednesday said the people with 'negative mindset' are questioning him and his government for floating pro-poor schemes. He added negative mindset people are raising doubts about schemes such as building toilets and providing free gas connections to the poor. He further said that negative mentality laced with a vested interest still exists in the country.
"Rahul is hybrid specimen, has no clue about religion: Hegde","Union Minister Anantkumar Hegde took a dig at Congress President Rahul Gandhi by calling him a ""hybrid specimen"" who has no clue about religion. ""A father who's...Muslim, a mother who's...Christian and the son is supposed to be...Brahmin. How is that even possible?"" he said. He added such ""hybrid specimen"" cannot be found in any laboratory in the world."
Extreme cold to affect 200 million people as polar vortex hits US,"Several parts of the US are set to experience record low temperatures as the polar vortex hit the Upper Midwest, with more than 200 million people expected to experience below-freezing temperatures this week. Temperatures throughout the Upper Midwest are expected to be at least 20-40â below zero. Government offices and schools have been closed in several areas."
13 booked for firing air shots at Mahatma Gandhi's effigy,"The police on Wednesday registered cases against 13 persons, including a woman leader of Hindu Mahasabha, in Aligarh for firing at an effigy of Mahatma Gandhi with an air pistol. ""The incident took place in a house in Naurangabad locality of the city,"" Senior Superintendent of Police said. The video of the event went viral on social media, he added."
Railway police rescues woman with leg stuck in train toilet,"Railway police has rescued a woman travelling on a train in Chennai who got her leg stuck inside the commode of a toilet. After being caught inside the commode hole, she struggled to remove her leg and following failed attempts, she shouted for help, reports said. Railway police used a cutter to pry open the commode and freed her leg."
US begins sending back asylum seekers to Mexico,"The US on Tuesday began returning asylum seekers to Mexico, sending back a migrant from a Central American nation and called the move a ""response to the illegal migration crisis"" faced by it. Under its Migrant Protection Protocols policy, the US will return certain migrants who cross into the country illegally back to Mexico while their asylum requests are processed."
Yashwant Sinha demands probe into alleged fund diversion by DHFL,"Former Finance Minister Yashwant Sinha on Tuesday demanded a probe into the alleged diversion of loans worth â¹31,000 crore by Dewan Housing Finance (DHFL). All agencies including regulators of the government have failed to track nefarious deals, he said. This comes after a media report on Tuesday accused DHFL's controlling shareholders of diverting funds to shell companies to buy assets."
Boeing sales cross $100bn for 1st time in its 102-yr history,"US-based Boeing on Wednesday reported annual sales worth $101.12 billion in 2018, the first time the planemaker's sales crossed the $100-billion mark in its 102-year history. The company said it expects to deliver between 895 and 905 commercial aircraft in 2019. Boeing retained its position as the world's largest planemaker for the seventh straight year, delivering 806 aircraft in 2018. "
headlines,text
OnePlus named bestselling premium smartphone brand of 2018: Report,"OnePlus has emerged as India's best-selling premium smartphone brand of 2018, as per a report by Counterpoint. It captured 36% of the market share in the premium segment, in Q4 2018. Further, its OnePlus 6 emerged as the highest selling premium smartphone of 2018 followed by OnePlus 6T."
"Can never look at female body, even if naked, in vulgar way: Pooja","Filmmaker Pooja Bhatt, while talking about the presentation of women in her films, said, ""I can never look at a female body, even if it's naked, in a vulgar manner."" ""Our audience can say...the women in my films are bold or sensual, but never ever vulgar,"" she added. Pooja further said her censor board is her ""own heart and mind""."
Kangana made fake promises to cast: 'Manikarnika' actress Mishti,"Actress Mishti, who has featured in 'Manikarnika: The Queen of Jhansi', has said the film's co-director Kangana Ranaut made false promises to the cast. ""Kangana had said, 'I want dates because all characters look jumbled up...I'm trying my best to give everybody a prominent space on screen.' After watching the movie, there is no scope for other characters,"" Mishti added. "
PM-led panel to meet on Friday to pick new CBI chief: Kharge,"The high-powered committee led by PM Narendra Modi to select the next CBI Director will meet again on February 1, Congress leader Mallikarjun Kharge has said. The panel consisting of Kharge and Chief Justice of India Ranjan Gogoi met on January 24, but the meeting ended ""inconclusively"" after Kharge cited lack of details in the list of 80 IPS officers. "
"McGregor fined â¹35 lakh, Khabib â¹3.5 crore for brawl; both banned","Nevada State Athletic Commission has banned MMA fighters Conor McGregor and Khabib Nurmagomedov for six months and nine months respectively over their roles in the mass brawl that occurred after their fight at UFC 229 last October. McGregor and Khabib have been fined $50,000 (â¹35 lakh) and $500,000 (â¹3.5 crore) respectively. The brawl occurred after Nurmagomedov confronted McGregor's teammate."
"Banned for 4 matches, Sarfaraz shares 'log hai na' poem for critics","Pakistan captain Sarfaraz Ahmed, who has been banned for four matches over racist remarks, took an apparent dig at his critics by sharing a video of a child reciting 'log hai na' poem on Twitter. ""Pyaar karna hai to khud se kar...dushmani karne ke liye log hai na,"" the poem read. ""This is how the world is,"" Sarfaraz wrote."
Confessed to spot-fixing to escape police torture: Sreesanth to SC,"Banned cricketer Sreesanth has told Supreme Court he initially confessed to Delhi Police about his alleged involvement in 2013 IPL spot-fixing scandal to escape continuous police torture. Sreesanth further said the bookie tried dragging him into spot-fixing but he didn't fall for it. Citing Sreesanth not informing BCCI about fixing approach, the apex court said Sreesanth's conduct ""wasn't good""."
"Govt to present Interim Budget, not full Budget on February 1","The Finance Ministry on Wednesday said the government will present an Interim Budget on February 1. The clarification came amid speculations that a full Budget may be presented during the session. The government recently assigned Piyush Goyal temporary additional charge of the Finance and Corporate Affairs ministries in the absence of Arun Jaitley, who is in the US for treatment."
"US intelligence naive and wrong, should go back to school: Trump","US President Donald Trump on Wednesday called his country's top intelligence chiefs ""naive"" and ""wrong"" on Iran and added that they should perhaps ""go back to school"". Trump claimed Iran is testing rockets, calling the country ""a source of potential danger and conflict"". Top US intelligence officials on Tuesday said that Iran isn't currently taking steps towards building nuclear weapons."
Vatican priest handling sex abuse cases quits over alleged sex abuse,A senior priest at the Vatican who handled cases of sexual abuse has quit after being accused of sexual abuse by a former nun. The accused priest claimed he is innocent and said he would consider taking legal action. The Vatican said in a statement that a Church investigation of the case was underway.
Woman rejects job after CEO bullies her in interview; he apologises,"A 22-year-old writer turned down a job offer, claiming she was bullied to the point of tears during her two-hour interview by a UK company's CEO. Olivia Bland added the ""brutal"" interview brought back painful memories of her abusive relationship. ""I am so sorry that anyone has been hurt, it is never my intent,"" Web Applications CEO Craig Dean replied. "
Police officer probing Paytm extortion case arrested for extortion,"Noida Police has arrested Sector 20 station in-charge Manoj Pant and three journalists for allegedly extorting money from a call centre owner for removing his name from an FIR. The four were caught while taking bribe money of â¹8 lakh, police said. Pant was the lead investigator in the Paytm extortion case involving Founder Vijay Shekhar Sharma's secretary Sonia Dhawan."
Qatar to invest $200 million in Airtel Africa,"Airtel on Wednesday said that Qatar's sovereign wealth fund Qatar Investment Authority will invest $200 million through a primary equity issuance in Airtel Africa. India's second-largest telecom operator's Africa unit recently raised $1.25 billion from six investors. Airtel Africa, the holding company for Airtel's operations in 14 African countries, is preparing for an initial public offering."
Rohit Shetty still working on script for Golmaal 5: Shreyas,"Actor Shreyas Talpade said that 'Golmaal' filmmaker Rohit Shetty is still working on the script for the fifth instalment of the 'Golmaal' film franchise. ""He was telling us the other day that he...cracked some story. Once he's done with the...scripting, he'll take a call,â the actor added. The series features Shreyas along with Ajay Devgn, Arshad Warsi and Tusshar Kapoor."
Man sues Avengers actress Gwyneth for â¹22 crore over ski crash,"A 72-year-old man named Terry Sanderson has sued 'Avengers' actress Gwyneth Paltrow for allegedly crashing into him while skiing, and is seeking $3.1 million (over â¹22 crore) in damages. The lawsuit states the actress got up and skied away after knocking the man down, leaving him with broken ribs. The incident reportedly took place in 2016 in Utah, US. "
Yami Gautam felicitated by BSF for performance in 'Uri...',"Yami Gautam was felicitated by Border Security Force (BSF) in Amritsar for her performance in 'Uri: The Surgical Strike'. ""BSF is the first line of defence of our country and it gives me...pride to have met them,"" Yami said. The film, which also stars Vicky Kaushal, is based on the Indian Army's surgical strike operation which took place in 2016."
Facebook hires its privacy critic as privacy policy manager,"Social media giant Facebook has hired privacy critic Nate Cardozo, formerly the top legal counsel for US privacy watchdog EFF, as a privacy policy manager for WhatsApp. Cardozo had called Facebook a ""faceless corporation"" whose business model depends on user's confusion and indifference about privacy, in October 2015. Facebook has also hired attorney Robyn Greene as its privacy policy manager."
Apple to cut some iPhones' prices outside US over strong dollar,"Apple CEO Tim Cook said the company plans to lower some iPhones' prices in markets with currencies that weakened against the US dollar in the past year. ""Weâve decided to go back to (iPhone prices) more commensurate with...local prices...a year ago,"" Cook added. The price cuts, in hopes of increasing sales, are reportedly occurring for second time in 12 years."
Scientists test wetsuit to protect wearer after shark attack,"Scientists in Australia's Flinders University are testing a wetsuit prototype that could protect its wearer after a shark attack. The suit, made of synthetic material similar to the material used in bulletproof vests, could help reduce blood loss after a shark attack. ""The majority of fatalities from shark bites is due to blood loss...shock from blood loss,"" a scientist said."
Come armed with sticks for PM Modi's rally in WB: BJP leader,BJP National Secretary Rahul Sinha on Wednesday asked the party workers in West Bengal to come armed with sticks to PM Narendra Modi's rally in the state on February 2. His statement came a day after clashes broke out following BJP chief Amit Shah's WB rally. Sinha added the TMC is indulged in violence as they're afraid of BJP's strength.
'4B' for Opposition is 'Bua-Bhatija-Bhai-Behen': Amit Shah,"BJP President Amit Shah on Wednesday took a dig at the Opposition parties saying that the 'mahagathbandhan' for the Opposition is 4B - ""Bua-Bhatija-Bhai-Behen"". He added that 4B for the BJP meant ""Badhta Bharat, Banta Bharat"". He said Opposition's government cannot take the country ahead and ""only Modiji can provide a 'mazboot' (strong) government""."
"Volkswagen retains top spot in global sales, beats Toyota","German automaker Volkswagen Group has retained the car industry's top spot in global sales, beating its Japanese rival Toyota. Volkswagen's sales, including its MAN and Scania heavy trucks and buses, rose 0.9% to 10.83 million in 2018, the company had said. Toyota came second with around 10.6 million deliveries, including its affiliated brands Daihatsu and Hino, in 2018."
"Plot, treason by Nissan executives led to my arrest: Ghosn","Ousted Nissan Chairman Carlos Ghosn has said his arrest over alleged financial misconduct was led by ""plot and treason"" by the Japanese carmaker's executives who opposed its deeper integration with Renault and Mitsubishi. Ghosn added he had discussed the integration plans with Nissan's CEO in September, a month before his arrest. He further said he wouldn't flee if granted bail."
Govt cuts customs duty on electric vehicle parts to 10-15%,"The government has cut down customs duty on import of parts and components for electric vehicles to 10-15%, down from the previous 15-30%. The Central Board of Indirect Taxes and Customs said disassembled parts will attract 10% duty, whereas 15% will be levied on pre-assembled packs. However, fully built electric vehicles will continue to attract 25% import duty."
Swine flu outbreak kills 76 in Rajasthan,"Government officials on Wednesday said that a swine flu outbreak has killed 76 people this year in Rajasthan. Colder weather has worsened the seasonal outbreak of the H1N1 virus in the country, officials added. Rajasthan recorded more than a third of all swine flu deaths in India with Jodhpur being the worst affected area in the state, officials said."
N Korea unlikely to give up nuclear weapons: US intelligence chief,"North Korea is ""unlikely to completely give up its nuclear weapons and production capabilities"", Director of US' National Intelligence, Daniel Coats, said. ""North Korean leaders view nuclear arms as critical to regime survival,"" he added. His statements come despite North Korea's agreement with the US at the Singapore summit last year to denuclearise the Korean Peninsula. "
Jet Airways denies being told to ground aircraft,"Jet Airways on Wednesday denied it was directed by GE Capital Aviation Services to ground its aircraft due to non-payment of dues. The airline said it's in the process of delivering three aircraft to lessors due to the expiry of lease terms. Further, three aircraft have been temporarily grounded to carry out an engine normalisation exercise, it added."
"ICICI fires Chanda Kochhar, to take back bonuses paid in last 9 yrs","Retired Justice Srikrishna's enquiry panel has found that ex-CEO Chanda Kochhar violated ICICI Bank's code of conduct. The bank said it'll treat Kochhar's exit as termination and will take back all bonuses paid to her from April 2009 until March 2018. The CBI recently filed a case against Kochhar, her husband, and Videocon MD in the ICICI-Videocon loan case."
Ex-cricketer Martin out of ICU after being on ventilator for a month,"Ex-India cricketer Jacob Martin has been shifted to general ward from the ICU after being on a ventilator for nearly a month following a road accident, wherein he severely injured his lungs. Martin's wife Khyati mentioned there are chances that Jacob will be in hospital for two more months. BCCI, CSK and various cricketers provided financial assistance for Martin's treatment."
"Malinga's wife targets Perera on Facebook, he seeks board's help","Sri Lanka all-rounder Thisara Perera has written to Sri Lanka Cricket CEO Ashley de Silva, asking the board to intervene after ODI captain Lasith Malinga's wife Tanya targeted him on Facebook. Tanya accused Perera of meeting country's Sports Minister to secure his place in the team. ""We've become laughing stock of whole country...because of one person's personal vendetta,"" Perera wrote."
Don't use visit to ailing man for political gains: Goa CM to Rahul,"Goa CM and ex-Defence Minister Manohar Parrikar has written a letter to Congress President Rahul Gandhi over his claim that Parrikar told him he has nothing to do with new Rafale deal. Parrikar wrote, ""Kindly do not use your visit to an ailing person to feed political opportunism."" In their five-minute meeting, they didn't discuss anything about Rafale, he added."
"PM Modi stops speech after cameraman faints, asks officers to help","Prime Minister Narendra Modi stopped his speech at the inauguration of the new terminal building at Surat airport after observing that a cameraman had fainted. PM Modi then asked his officers to urgently arrange for an ambulance for the cameraman. ""It's good that PM was paying attention to his surroundings during his speech,"" the cameraman later said from a hospital. "
Couple divorces minutes after marriage as families fight over lunch,A couple got divorced minutes after their wedding ceremony got over in Gujarat's Gondal as a disagreement broke out and relatives from both sides started throwing dishes at each other during lunch. The advocates representing both sides arrived at the marriage hall and got the couple divorced within minutes. The couple even reportedly returned the gifts exchanged during the ceremony.
Minister praises rape-convict Asaram over Matru-Pitru Divas,"Gujarat Education Minister Bhupendrasinh Chudasma has written a congratulatory message to a yoga ashram run by rape-convict Asaram's organisation for observing February 14 as ""Matru-Pitru Pujan Divas"" (Mother-Father worship day). After the Congress termed the letter as ""unfortunate"", saying it ""shows the nexus between BJP and godman"", Chudasma clarified, ""All I have done is sent best wishes."" "
Trump ordered to kill me: Venezuela President Maduro,"Venezuelan President NicolÃ¡s Maduro has claimed that his American counterpart Donald Trump ordered the Colombian government and the Colombian mafia to kill him. ""If something happens to me, Trump and Colombian President IvÃ¡n MÃ¡rquez will bear responsibility,"" he added. The US has blamed Maduro for the economic crisis in Venezuela and recognised opposition leader Juan GuaidÃ³ as interim President."
"8 Asian billionaires aged over 90, including Mistry, control $125bn","Eight Asian billionaires aged 90 or above on the Bloomberg Billionaires Index of world's 500 richest people have a combined net worth of $125 billion. The richest among them is Hong Kong's Li Ka Shing with a net worth of $30.5 billion. India's 90-year-old Pallonji Mistry, who controls 18.3% of Tata Sons through Shapoorji Pallonji Group, is worth $20.1 billion."
